word;Economy;Sport;Hospitals;General statistics;Restrictions;Vaccine research;Mental health;Schools;Global politics;General politics;Global statistics;Vaccine politics
stress;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
celebrate;1;1;1;1;1;1;1;1;1;1;1;1
peace;1;1;1;1;1;1;1;1;1;1;1;1
relaxed;1;1;1;1;1;1;1;1;1;1;1;1
advanced;1;1;1;1;1;1;1;1;1;1;1;1
rejected;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
reform;1;1;1;1;1;1;1;1;1;1;1;1
sharp;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
recommend;1;1;1;1;1;1;1;1;1;1;1;1
proven;1;1;1;1;1;1;1;1;1;1;1;1
helping;1;1;1;1;1;1;1;1;1;1;1;1
falling;-1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
correct;1;1;1;1;1;1;1;1;1;1;1;1
illegal;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
slowly;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
contamination;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
strictly;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
struggling;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
leads;1;1;1;1;1;1;1;1;1;1;1;1
poverty;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
grand;1;1;1;1;1;1;1;1;1;1;1;1
controversy;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
burden;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
stronger;1;1;1;1;1;1;1;1;1;1;1;1
super;1;1;1;1;1;1;1;1;1;1;1;1
crime;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
interests;1;1;1;1;1;1;1;1;1;1;1;1
encourage;1;1;1;1;1;1;1;1;1;1;1;1
optimistic;1;1;1;1;1;1;1;1;1;1;1;1
smart;1;1;1;1;1;1;1;1;1;1;1;1
effectively;1;1;1;1;1;1;1;1;1;1;1;1
tough;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
losing;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
shock;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
refused;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
miss;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
interesting;1;1;1;1;1;1;1;1;1;1;1;1
suitable;1;1;1;1;1;1;1;1;1;1;1;1
exceed;NA;-1;-1;NA;-1;-1;-1;-1;-1;-1;NA;-1
innovation;1;1;1;1;1;1;1;1;1;1;1;1
denied;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
capable;1;1;1;1;1;1;1;1;1;1;1;1
fresh;1;1;1;1;1;1;1;1;1;1;1;1
unclear;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
defeat;-1;NA;NA;-1;-1;-1;1;NA;NA;NA;-1;-1
